2025-02-13 13:45:25.425 CET [29052] LOG:  checkpoint starting: time
2025-02-13 13:45:32.871 CET [29052] LOG:  checkpoint complete: wrote 69 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=7.420 s, sync=0.019 s, total=7.447 s; sync files=33, longest=0.005 s, average=0.001 s; distance=360 kB, estimate=360 kB; lsn=0/317BDD0, redo lsn=0/317BD98
2025-02-13 13:50:25.882 CET [29052] LOG:  checkpoint starting: time
2025-02-13 13:50:32.503 CET [29052] LOG:  checkpoint complete: wrote 61 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=6.590 s, sync=0.021 s, total=6.621 s; sync files=36, longest=0.002 s, average=0.001 s; distance=325 kB, estimate=357 kB; lsn=0/31CD340, redo lsn=0/31CD308
2025-02-13 13:55:25.508 CET [29052] LOG:  checkpoint starting: time
2025-02-13 13:55:31.326 CET [29052] LOG:  checkpoint complete: wrote 54 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.792 s, sync=0.019 s, total=5.819 s; sync files=32, longest=0.005 s, average=0.001 s; distance=287 kB, estimate=350 kB; lsn=0/3215018, redo lsn=0/3214FE0
2025-02-13 14:00:25.330 CET [29052] LOG:  checkpoint starting: time
2025-02-13 14:00:30.060 CET [29052] LOG:  checkpoint complete: wrote 44 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.707 s, sync=0.014 s, total=4.730 s; sync files=30, longest=0.002 s, average=0.001 s; distance=220 kB, estimate=337 kB; lsn=0/324C3B8, redo lsn=0/324C380
2025-02-13 14:05:25.066 CET [29052] LOG:  checkpoint starting: time
2025-02-13 14:05:30.407 CET [29052] LOG:  checkpoint complete: wrote 49 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.312 s, sync=0.018 s, total=5.341 s; sync files=30, longest=0.002 s, average=0.001 s; distance=273 kB, estimate=330 kB; lsn=0/3290A08, redo lsn=0/32909D0
2025-02-13 14:10:25.417 CET [29052] LOG:  checkpoint starting: time
2025-02-13 14:10:32.335 CET [29052] LOG:  checkpoint complete: wrote 64 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=6.885 s, sync=0.025 s, total=6.918 s; sync files=34, longest=0.002 s, average=0.001 s; distance=302 kB, estimate=328 kB; lsn=0/32DC558, redo lsn=0/32DC520
2025-02-13 14:15:25.350 CET [29052] LOG:  checkpoint starting: time
2025-02-13 14:15:32.731 CET [29052] LOG:  checkpoint complete: wrote 68 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=7.353 s, sync=0.019 s, total=7.382 s; sync files=29, longest=0.005 s, average=0.001 s; distance=289 kB, estimate=324 kB; lsn=0/33249E0, redo lsn=0/33249A8
2025-02-13 14:20:25.742 CET [29052] LOG:  checkpoint starting: time
